edad,salario,productos,churn
47,2845,5,1
43,6648,5,1
23,7065,4,0
47,3288,1,0
38,3533,4,0
42,4079,4,0
23,5652,1,1
21,4666,2,0
59,2129,1,1
30,8674,1,0
33,2834,4,0
54,3585,4,1
41,3174,5,0
65,7684,1,1
28,4348,1,0
37,6516,4,1
63,3424,1,0
58,3789,1,0
37,8765,5,1
54,8211,1,1
45,7219,3,0
59,4595,1,1
49,2664,4,1
58,8588,4,1
45,3242,5,1
35,6845,5,1
47,5368,5,1
33,8605,1,0
46,3797,4,1
60,4904,3,0
38,3289,4,0
34,4588,3,1
62,4063,5,0
30,2501,2,0
49,6348,2,1
59,7631,4,1
19,2562,3,0
62,3793,3,1
41,5676,5,1
45,7910,5,1
62,5517,3,1
32,2788,2,0
65,6189,2,0
65,5766,3,1
51,6688,3,1
30,4226,2,0
37,1915,5,0
20,2246,5,0
26,7025,4,0
18,6502,3,1
46,4591,2,1
34,8859,4,0
22,5082,4,0
58,7423,1,0
54,4289,1,1
25,6371,4,1
57,3648,5,1
46,4235,5,1
37,6458,5,0
65,2612,2,0
34,7210,1,0
29,6321,1,0
44,5490,5,1
20,3696,3,1
62,8841,4,0
32,3967,5,0
30,5282,1,0
59,3020,3,1
22,2288,2,0
56,7935,5,1
46,2818,4,1
62,5097,3,1
49,5386,1,1
45,7817,3,1
19,2548,2,0
54,6609,1,1
61,8529,3,1
29,5654,5,1
35,3286,5,0
49,2547,4,1
39,4430,1,0
39,5172,4,1
43,8464,5,0
23,4376,3,0
43,8885,5,1
18,7187,5,1
21,3336,5,0
49,6923,4,1
31,3987,5,0
36,5389,4,0
58,6787,2,1
37,6312,1,0
23,3640,1,0
25,7106,2,0
63,4190,5,1
44,8638,4,1
33,5541,5,0
30,6710,5,1
26,8878,1,0
44,4584,5,0
18,4117,3,1
55,7206,4,1
46,6212,4,1
53,8049,5,1
38,8923,2,1
33,6484,4,1
44,2157,3,1
63,8447,4,1
60,8291,2,1
20,2834,5,1
39,8924,1,1
46,2616,5,1
18,7718,2,0
59,3064,1,0
34,4573,5,0
59,2457,3,1
52,4913,3,1
49,8946,5,0
22,3723,3,1
65,2540,4,1
58,7566,1,1
62,4253,1,0
21,4203,3,0
27,3800,5,0
61,8292,2,0
23,6792,4,1
33,5876,5,0
47,7025,3,1
60,1876,4,1
61,6277,2,0
40,6613,3,1
45,7455,3,1
37,3431,4,1
24,3743,4,0
54,4223,3,0
60,5042,3,0
61,8175,1,1
65,5869,3,1
32,6773,3,1
30,6886,3,1
64,8087,2,1
58,7094,1,1
46,2073,5,1
26,2538,3,0
44,3238,2,0
52,8979,3,1
35,8603,2,0
48,8406,3,1
39,8388,1,0
22,2953,2,0
64,7324,4,1
53,4796,1,1
18,3966,5,0
41,7311,3,1
58,4843,1,0
48,2005,5,1
53,4487,5,1
22,7005,4,1
37,7118,4,0
20,2104,3,1
25,2596,2,0
26,4983,4,0
65,7505,5,1
65,7752,2,1
59,2611,4,1
35,2068,3,0
46,3734,3,0
61,4809,5,1
59,4738,1,0
30,2800,4,0
31,7056,5,1
21,8245,3,1
26,8246,5,1
53,3497,5,1
32,4491,2,0
56,1823,3,1
27,2864,5,0
29,2700,1,0
40,8271,2,0
19,3227,3,0
65,5248,5,0
22,5701,4,1
50,6663,1,1
32,6838,1,1
60,6071,3,1
19,2298,4,1
45,7420,1,0
46,2402,1,0
27,2338,2,0
58,6595,5,1
42,6693,5,1
50,6759,4,0
62,2737,5,1
31,5323,4,1
44,4576,4,0
64,2578,3,1
60,3888,3,1
61,5685,1,0
23,2563,4,0
65,4852,2,0
55,6400,5,1
25,5165,3,1
45,8911,1,1
56,4359,3,0
50,3542,2,0
32,8740,1,0
53,4811,1,1
54,3652,4,1
57,6826,5,0
60,8594,3,0
35,7556,3,1
40,1850,2,0
54,7184,4,0
65,6986,1,0
51,3562,4,1
39,3089,3,0
38,8163,5,1
21,3074,2,0
21,7321,1,0
60,5273,4,1
44,4037,2,0
25,4627,4,0
61,7358,5,1
60,4326,1,0
56,2248,1,0
31,8086,2,1
36,4487,1,0
65,5327,2,0
52,7564,2,1
60,8404,3,0
65,2146,4,0
22,8862,3,1
54,5113,4,1
43,1970,3,0
57,5569,3,0
24,3793,4,0
51,2444,4,1
65,4581,2,0
28,2425,5,0
51,5977,2,1
40,4676,2,0
27,3896,2,0
27,8027,1,0
58,5847,4,1
55,5477,5,1
57,4447,3,0
22,5641,4,1
35,6644,1,0
22,4342,4,0
21,4820,3,0
23,6838,5,1
47,6554,5,1
65,2136,4,1
54,7139,2,1
48,5907,2,1
46,2647,3,1
23,5933,2,0
63,5386,4,1
57,3100,3,1
36,4973,4,1
61,6697,1,1
59,4541,1,0
53,7357,4,1
64,8776,5,1
39,2467,5,0
40,4341,4,0
63,2494,3,1
59,8285,3,1
60,7557,5,0
60,5268,5,1
41,4330,2,0
39,8076,4,0
26,3069,1,0
24,5958,5,1
51,2109,3,1
57,2873,5,1
28,3281,5,1
28,7707,4,0
41,7340,2,1
57,4134,4,1
33,4335,4,1
30,4813,5,1
47,8103,3,1
50,6120,4,1
30,8363,5,0
34,2227,4,1
53,2640,5,1
36,2487,2,0
50,3007,4,0
32,8490,4,1
19,5198,1,0
41,3731,4,1
41,3639,1,0
24,8674,3,1
26,2113,3,1
48,7502,2,1
48,5474,5,0
23,1955,3,0
27,6295,5,1
25,8158,3,1
25,2191,2,0
57,5544,1,0
49,6688,5,0
50,6510,2,1
36,5316,1,0
33,6474,4,0
60,2501,5,1
22,6109,5,1
50,6339,1,1
48,2156,4,1
34,7922,1,0
22,4624,2,0
58,2649,5,1
39,2892,1,0
39,8464,2,1
61,5606,4,1
26,2316,4,0
30,2158,2,0
38,4340,5,0
52,5678,3,0
59,3365,3,1
21,8892,3,1
41,5379,4,1
42,4577,2,0
49,4809,5,1
23,7756,4,0
56,8536,2,1
38,2640,1,0
36,4310,4,0
45,3165,4,0
20,7754,3,1
45,4049,1,0
58,5127,3,1
65,7365,2,1
27,8752,5,1
46,2085,2,0
59,4800,3,1
54,2065,5,0
46,4838,3,1
22,6501,2,0
43,4375,3,0
25,2012,2,0
42,6401,1,0
34,7567,4,1
57,4139,4,1
26,8786,1,0
63,5446,1,1
38,7270,3,1
53,6241,3,1
28,7631,2,1
50,3636,1,1
26,3739,4,0
53,6488,3,1
53,2863,5,1
22,4333,4,1
64,5721,5,1
44,8544,5,0
38,7062,1,0
61,6038,3,0
53,7041,5,0
26,5344,5,1
21,8610,1,0
37,3148,2,0
63,3647,3,1
51,4126,1,0
58,6312,3,0
37,6833,5,0
59,3181,5,1
27,3202,5,1
56,4565,5,0
19,2465,1,0
54,3968,2,1
44,6863,1,0
58,6269,3,1
37,5756,2,1
61,5126,3,1
62,2290,2,0
48,5604,2,1
27,4360,3,1
40,5066,2,1
50,6401,1,1
47,2803,3,1
27,2593,1,0
42,8879,5,1
28,8464,3,1
64,4361,2,1
49,6016,4,1
37,5874,1,0
43,5940,4,1
31,6578,3,0
36,5854,5,1
59,7309,4,1
18,8740,1,0
34,7759,3,1
41,2170,4,0
53,3394,3,1
22,4964,5,0
53,4091,5,1
25,2854,1,0
39,6369,3,1
30,6735,5,1
20,2171,1,0
39,8386,4,1
27,6766,5,0
57,4409,2,0
57,7856,3,1
50,8585,5,1
63,6411,3,1
19,4817,3,0
44,6581,3,1
64,8944,1,1
34,7170,5,1
64,2220,5,1
51,6952,5,1
42,3010,2,0
62,2700,2,0
38,5230,2,0
31,5161,5,1
48,8950,1,1
51,3498,5,1
60,5718,5,1
29,5565,5,1
40,7336,3,1
30,3819,3,0
32,4238,3,1
62,7575,4,1
40,6391,3,1
54,7342,5,1
43,8504,3,1
27,4179,1,0
63,2447,3,1
59,3900,4,1
52,4021,5,1
26,2694,5,1
33,3786,1,0
51,3648,2,0
44,4505,4,0
26,1842,5,1
28,5133,4,1
30,7992,3,1
59,2284,1,0
32,6183,1,1
29,5223,2,1
20,8650,4,1
29,7935,3,1
18,4244,5,0
39,4131,4,1
52,6095,4,1
26,8771,5,1
30,8425,1,0
64,5559,3,1
18,7834,3,1
54,7324,2,0
58,5121,4,1
23,5083,1,0
26,5711,3,1
18,3936,4,0
35,4500,3,0
54,1893,3,1
62,3735,1,0
47,4313,2,0
50,7563,3,1
58,4216,3,1
32,2894,4,0
65,6762,3,1
53,5657,5,1
31,8041,2,0
56,8952,1,1
51,7565,3,0
54,2719,1,1
50,3456,5,1
28,4487,5,0
61,3482,5,1
50,5449,1,1
50,5203,4,1
53,5587,3,1
43,3884,1,0
55,2398,1,0
62,2322,5,1
22,5667,1,0
29,8099,2,1
64,7091,4,1
42,5474,4,1
61,7221,5,0
40,2771,2,0
43,6132,2,1
32,8638,1,1
37,5592,5,1
42,8544,2,0
40,3070,3,0
64,8070,1,0
60,5234,5,1
19,3771,2,0
56,2075,4,1
63,8945,1,1
20,5095,4,1
31,7979,1,0
36,3718,5,0
56,8128,3,1
27,7208,5,1
37,4054,1,0
55,7822,2,1
45,6353,4,0
40,7070,4,1
38,7504,4,1
37,4883,2,0
48,3774,2,0
63,2982,4,1
53,5180,4,1
26,4981,2,0
39,7097,1,1
41,2557,5,1
30,2222,3,0
56,6739,1,1
30,8391,5,1
53,3577,4,1
39,4283,1,0
30,7874,1,1
48,3787,5,1
43,3760,5,0
36,4918,4,0
40,4326,3,0
49,5617,1,1
64,5646,3,1
41,4363,4,0
32,7872,2,0
53,6584,5,1
36,3048,2,0
42,6467,2,0
59,7410,3,1
49,7727,4,1
64,8312,3,0
64,6277,4,0
52,7057,1,1
22,8501,1,1
44,2926,2,0
27,1874,2,0
41,2295,5,0
57,5758,4,0
52,6319,4,0
51,7716,3,1
36,1940,5,1
61,5327,2,0
24,6095,2,0
57,6112,3,1
35,8312,4,0
43,5560,5,1
62,3650,3,1
23,7155,1,0
42,4889,5,0
58,1877,2,0
45,7083,3,1
24,6126,1,0
62,6443,4,1
22,7406,3,1
54,7191,1,0
38,1928,2,0
63,8524,4,1
37,3130,5,0
42,7346,5,1
65,2946,1,0
40,2239,1,0
22,4590,5,1
56,5049,3,0
35,8218,4,1
40,6330,4,1
61,6599,4,0
57,4219,2,1
23,3995,2,0
58,3063,4,1
24,2549,1,0
46,4748,3,0
23,3335,4,0
53,5997,4,0
23,4699,5,0
56,8226,3,1
18,4190,4,0
23,7737,5,1
33,6485,5,0
42,3188,2,0
35,5839,2,0
45,4060,4,0
22,4758,3,1
64,6920,4,1
30,5550,1,0
18,5041,3,1
42,8386,3,1
45,8480,5,0
38,6741,2,0
29,5062,3,1
62,6984,4,1
33,4469,4,0
43,4790,1,0
30,6651,5,0
53,2020,4,1
31,5391,3,1
22,8508,4,1
26,6988,3,1
60,3062,4,1
22,5478,5,1
43,6177,5,1
62,5226,5,0
41,7547,5,1
23,2695,2,0
40,3162,5,0
59,7349,4,1
39,8322,4,0
24,3919,2,0
51,6371,5,1
32,5451,3,1
61,6621,5,0
19,5754,1,0
23,2750,2,0
39,5530,2,0
40,5700,1,0
62,5506,3,0
20,8437,1,0
39,7108,1,0
28,7866,2,0
53,3111,3,1
47,3699,4,1
29,7046,4,1
65,6830,2,1
45,4985,1,0
31,4080,1,0
52,3331,3,1
47,2733,3,1
49,6123,3,1
57,5015,5,0
40,8726,4,1
61,7583,3,1
55,2494,2,0
33,4301,1,0
62,2958,5,1
56,2929,5,1
29,5786,5,1
59,3219,5,0
36,2949,2,0
46,6874,1,1
18,5769,2,0
42,6400,5,1
44,7409,4,1
46,5803,2,0
19,8319,2,0
35,3641,5,0
47,6433,4,1
25,6491,1,0
52,8544,3,1
20,8025,4,1
45,2638,2,0
20,5484,3,1
23,5396,1,1
33,3519,5,0
63,6799,4,0
26,8229,2,1
21,6470,3,1
56,6213,2,1
63,4197,3,1
50,7364,1,0
44,2285,3,1
26,7546,2,0
63,4438,2,1
61,5017,4,0
58,4001,4,1
22,6990,1,0
65,4079,3,1
49,4481,5,0
64,2563,4,1
62,4734,1,1
43,3584,4,1
49,3999,3,1
39,6283,5,0
49,8257,3,1
21,2176,1,0
47,1933,1,1
28,5415,4,0
45,3457,2,0
37,3102,3,0
41,3851,1,0
59,3155,1,0
37,7747,2,0
23,7564,1,0
48,2438,2,0
51,7370,4,0
62,4614,1,1
45,7485,2,0
32,4938,1,0
24,2645,3,0
37,2923,4,1
26,7055,2,0
54,1869,5,1
46,4676,2,0
27,5172,5,1
31,2510,1,0
25,6629,4,1
45,4376,2,0
59,2490,2,0
56,7707,5,1
62,2019,3,1
56,5974,2,1
36,7093,1,1
33,5854,4,0
49,7027,5,0
18,4758,3,0
54,5247,3,1
29,8048,4,1
22,1936,5,0
34,3567,1,0
43,5950,3,1
50,8084,4,1
43,2475,5,0
27,4073,1,0
50,3464,2,0
43,6604,1,0
45,7779,2,0
23,5359,1,0
56,2250,3,1
60,7867,2,0
63,2924,1,0
40,6084,5,1
64,3923,2,0
65,8198,3,1
25,8119,1,0
45,4028,5,0
63,6523,1,1
50,4750,1,0
54,3167,3,0
24,6501,1,0
50,1821,1,1
18,3803,1,0
42,3029,2,0
20,6329,4,1
33,5209,3,1
22,6482,3,0
61,2231,2,0
51,2176,4,0
47,8894,3,1
37,4481,1,0
18,4822,2,0
37,7858,5,1
41,6647,4,1
30,7800,5,1
33,3033,1,0
19,3708,5,0
62,8986,1,1
18,8017,4,1
64,4319,1,0
33,5239,4,1
27,7629,3,0
32,8726,5,1
41,5555,1,0
50,2893,4,0
54,2310,4,1
26,3739,3,0
38,8360,4,1
65,4472,3,1
32,2411,2,0
55,2692,2,0
46,5617,3,1
52,4735,2,0
47,3970,1,0
61,4292,5,0
38,3015,1,0
40,5046,5,0
37,3931,2,0
43,8800,4,1
53,3846,1,0
26,2794,1,0
32,2870,2,0
41,7422,1,0
34,8458,1,0
22,3419,4,1
23,8740,3,0
47,2214,2,1
45,8531,4,1
42,7396,4,0
31,3333,3,0
27,2083,5,0
33,7102,3,1
53,5724,1,0
42,2924,4,0
51,3841,5,1
42,8205,3,1
49,4618,5,1
42,4015,2,0
56,3594,1,1
35,2279,4,0
55,3706,2,0
60,3775,3,1
65,2258,2,0
42,4706,2,0
55,4405,3,1
19,7562,3,1
54,2964,5,1
49,6241,3,0
20,2539,1,0
32,1963,5,0
39,6830,2,1
39,7673,2,1
38,2287,1,0
63,2960,1,1
41,2394,3,1
60,5040,5,0
37,4442,2,0
64,5378,4,1
29,7593,5,1
57,8247,3,1
55,8472,2,1
64,7440,3,0
64,1814,5,1
54,2065,2,0
57,3609,5,0
49,2952,3,1
33,4641,3,0
23,8531,3,1
34,3517,2,0
40,3902,1,0
21,4961,4,1
28,5191,4,1
40,6273,4,0
48,8261,5,1
61,3647,2,0
20,4215,1,0
24,2407,3,0
42,3118,1,0
23,4568,5,1
48,7571,1,1
59,3151,5,1
28,2238,1,0
30,5152,5,1
64,6224,3,1
37,3745,1,0
54,6302,4,0
41,1831,4,0
60,6920,5,1
24,2010,2,0
36,2471,4,1
37,8229,4,1
60,3970,1,0
42,3314,3,1
41,3328,4,0
46,5609,3,1
35,6422,1,0
62,7267,1,0
40,8420,5,1
55,3663,5,0
42,8504,5,1
52,7428,4,1
33,5701,3,0
63,2084,5,1
51,8357,5,1
57,3007,1,1
46,3216,2,1
30,2833,1,0
61,5366,2,1
58,3011,5,1
64,8413,1,0
53,5055,5,1
35,6057,4,1
18,8243,5,1
44,2721,4,0
54,6616,5,1
24,2665,5,1
36,8906,5,1
44,3963,4,0
54,6788,4,0
35,5101,2,0
61,7482,4,0
39,7456,2,0
48,4000,3,0
37,4347,3,1
62,7410,1,1
32,2900,3,1
46,8140,3,1
44,6755,1,0
31,8549,4,1
51,8904,3,1
50,8283,2,0
63,5951,4,0
51,6458,1,0
30,8656,1,0
47,2214,3,1
35,4817,4,0
58,2814,1,0
49,6666,4,0
48,6607,5,1
28,8662,3,1
62,2540,3,0
21,3134,5,1
31,8821,2,0
61,3493,3,1
50,1964,1,0
26,7103,2,0
18,3633,3,0
37,7638,3,1
42,8776,3,1
31,5623,3,1
57,5053,5,0
50,7226,3,1
56,6789,3,1
24,5746,1,0
35,7047,3,1
34,7174,3,0
51,8070,2,1
56,5110,3,1
64,2008,4,1
34,5228,4,1
20,6576,5,1
39,7751,2,0
58,8229,4,1
60,4736,5,1
28,8686,5,0
24,5656,2,1
64,8421,5,1
29,7368,3,1
32,4710,2,0
37,5244,3,1
55,4208,4,1
48,2239,5,1
57,2383,4,1
50,2781,4,1
44,2242,2,0
30,4607,4,1
47,2973,3,1
29,8181,1,0
58,3248,3,1
18,5503,3,1
28,6520,2,0
23,2860,5,0
45,5104,4,1
42,1838,1,0
64,4856,1,1
51,3361,1,0
58,7809,2,1
40,4356,2,0
50,6622,3,0
20,4242,3,0
51,6685,5,1
61,2896,3,1
49,4742,2,0
43,1956,2,0
26,3530,1,0
28,2808,3,1
20,4873,3,1
57,2198,5,1
60,2685,1,0
25,5214,4,1
53,3870,4,1
31,7495,1,0
60,2627,5,1
56,7540,2,1
24,5990,5,0
25,8228,1,0
56,3436,3,1
30,4732,4,0
20,6290,4,1
62,5737,3,1
18,7302,1,1
54,7280,4,0
23,8185,5,0
64,2629,3,1
47,4225,3,1
24,8461,2,1
36,4750,3,0
25,2578,1,0
26,7234,2,0
46,6893,3,1
23,4852,3,0
43,5078,4,1
42,7451,4,1
59,8328,2,0
62,7750,1,1
28,2649,4,1
48,8372,5,1
29,6807,4,1
57,2036,2,0
49,2725,4,1
22,3943,3,0
61,6099,5,1
32,7287,3,1
62,7539,5,0
60,7752,2,1
60,7340,4,0
53,6820,1,0
28,5941,4,1
28,2413,4,0
39,4078,1,0
53,7070,4,1
33,2445,4,0
54,5470,1,1
46,4389,1,1
65,7152,1,0
44,2093,5,0
23,8286,5,1
58,4295,5,1
59,7300,4,1
41,8560,1,1
47,4519,5,1
56,5675,3,1
25,2598,2,0
40,8598,3,1
41,7551,1,0
28,5833,2,1
65,7711,4,0
57,3404,2,0
43,3566,4,1
30,7671,3,0
44,2180,5,0
46,5546,5,1
26,5886,1,0
21,6332,4,1
48,5964,2,1
29,7784,2,0
60,6719,5,1
50,4951,4,1
62,8045,2,1
39,4209,4,1
26,5181,5,1
65,5996,3,1
53,8850,3,1
53,6982,2,1
57,7652,3,1
61,2886,2,0
62,7017,3,1
40,6406,4,1
60,7617,4,1
52,4142,4,1
51,2672,1,0
21,7290,1,0
28,4147,3,0
21,7457,3,1
52,2064,3,1
24,6847,5,1
65,7101,5,1
50,8225,3,1
21,4925,4,0
61,4361,5,0
65,3858,2,0
46,8599,2,1
63,7612,3,1
52,7849,5,0
64,3385,3,1
61,2410,2,1
65,6009,1,1
45,4086,5,0
28,6584,3,0
47,7613,2,0
38,6689,1,1
58,6843,3,1
54,6306,3,0
63,4403,5,1
29,6064,1,1
28,5207,5,1
23,4662,2,0
60,4518,3,1
31,7965,5,1
53,8547,1,0
40,5450,2,1
57,6888,2,1
61,4429,4,1
25,4961,3,0
36,2002,5,1
41,6013,5,1
20,4228,2,0
23,2586,2,0
52,6168,1,1
31,7291,2,1
45,8645,1,0
62,8997,4,1
22,7918,2,0
63,4517,1,0
21,3258,3,0
54,8530,2,1
44,4978,4,0
45,4391,1,0
25,6181,1,0
57,2318,5,0
22,4730,5,0
61,4268,5,0
46,4924,4,1
19,5682,2,0
26,7917,4,1
52,4216,2,0
64,7107,3,1
18,6334,5,0
20,1841,5,0
52,6285,1,1
65,7873,3,1
59,8775,5,0
29,3608,5,1
30,2738,2,0
54,8781,1,1
53,5578,5,0
60,2351,3,0
64,6556,4,1
40,2850,2,0
57,2371,2,0
46,4489,5,1
62,6585,2,1
41,8416,3,1
28,1839,3,0
32,7634,4,1
41,2900,3,1
47,5448,3,1
49,6319,1,0
56,2471,3,1
26,6212,2,0
58,2426,1,1
50,6974,1,1
55,5118,5,1
20,6318,3,1
52,5667,2,1
32,8125,5,1
36,2896,4,0
23,5050,3,1
60,3756,5,1
50,2949,4,0
54,6435,2,1
48,4739,1,0
49,3698,1,0
32,2150,2,0
41,4979,4,1
20,2126,3,0
51,6990,3,1
34,6540,5,1
42,7154,4,1
59,8644,1,1
42,3625,5,0
40,5788,4,1
18,5911,2,0
32,2431,5,0
31,3030,2,0
56,7676,1,1
44,8445,3,1
48,7331,4,1
55,3120,4,0
20,2847,5,0
26,6957,5,0
54,3003,1,0
29,6032,4,1
54,7023,1,1
64,7221,3,1
31,5479,5,1
48,3197,2,1
56,2969,5,1
29,6905,5,1
64,7416,3,1
56,6638,1,1
42,2883,1,0
51,8841,5,1
27,6760,1,0
57,6713,1,1
52,5923,1,0
60,2867,5,1
18,8147,4,1
41,8966,1,0
45,3679,4,1
42,4671,5,1
62,6519,1,1
34,5708,2,1
23,4120,5,1
44,3911,2,0
65,8266,1,1
25,6057,1,0
31,7434,3,1
24,3067,4,0
34,3940,5,0
41,6812,3,1
43,7984,2,0
53,5752,2,1
53,5762,3,1
54,4620,4,1
60,2775,2,0
62,3125,1,0
43,8239,3,1
57,7510,1,0
58,1843,1,1
48,6717,4,0
34,3616,3,0
20,7735,4,1
43,6829,5,1
56,2270,2,0
46,1887,2,1
51,4142,2,0
56,5982,5,1
57,3188,1,0
59,1802,2,0
35,8187,4,1
43,5121,5,1
18,7836,1,1
53,4130,5,1
40,4646,3,0
30,5525,4,1
34,3233,4,0
53,2392,5,1
25,8377,5,1
52,8461,5,1
46,4889,5,1
33,8005,3,1
47,7383,4,1
19,5748,1,0
42,6990,2,0
32,8354,3,1
40,6031,5,0
34,3833,3,0
61,7934,3,0
29,5703,3,1
54,4004,2,1
61,3357,4,1
33,7824,2,1
31,3677,2,0
57,4716,2,1
25,2442,4,0
52,2146,4,1
38,5833,5,1
49,3298,5,1
32,7945,5,0
51,8347,4,1
52,2066,5,1
61,8156,2,1
25,7520,5,1
62,1868,1,0
42,6559,1,0
57,8860,3,0
34,3742,3,0
57,4610,3,0
45,3524,4,1
41,4790,4,0
29,6480,2,1
61,3672,1,1
33,6349,4,1
30,2994,2,0
18,3246,4,0
58,6035,5,1
49,4257,3,1
54,2190,4,0
28,2291,2,0
48,8672,1,1
39,3928,3,0
53,8435,3,1
44,2793,3,1
56,3429,5,1
59,6210,2,1
36,4709,3,0
49,8146,4,1
42,6827,3,1
27,8912,2,0
39,5255,5,1
22,2448,2,0
38,4395,3,1
56,7080,4,1
46,8197,3,1
51,5488,4,0
19,2824,2,0
65,7540,1,1
43,2643,1,0
48,6292,1,0
43,6092,1,0
57,3072,1,0
42,4334,2,0
36,5430,2,0
28,2034,1,0
38,8879,4,1
52,4031,5,1
62,6217,2,1
47,6969,5,1
58,7039,5,1
40,5745,5,1
23,5419,3,1
34,3075,3,0
51,8479,2,1
48,6183,1,1
49,7988,4,1
45,8336,3,1
18,6290,3,0
53,5380,4,1
63,7838,4,1
32,3954,1,0
33,6032,5,1
61,4027,3,1
52,8425,3,1
22,3294,2,0
58,5530,5,1
62,6901,4,0
19,3046,1,0
19,3323,1,0
26,7658,4,1
32,2538,2,0
31,4600,4,0
49,4842,4,1
20,4505,1,0
27,2259,3,1
22,6249,4,0
34,8494,4,1
25,8092,2,0
46,3824,1,0
65,8115,1,1
31,5673,4,1
37,4446,2,0
20,7900,5,1
34,5742,3,0
21,8875,2,1
33,6984,4,1
28,8307,3,1
43,8264,2,0
20,6560,4,1
27,4842,1,0
49,2548,5,1
58,2291,1,0
27,7545,5,1
26,5796,2,0
53,8259,3,1
46,7806,2,0
42,4734,2,0
20,5775,4,1
52,7510,4,0
29,6253,3,1
47,4055,5,1
53,3113,1,0
46,4222,3,1
47,1805,5,1
29,1953,5,1
57,3756,3,1
60,6215,4,0
61,5875,5,0
36,4442,4,0
25,2588,5,0
20,8641,2,0
20,3455,1,0
24,2060,5,0
42,7189,4,1
62,6635,3,0
32,6763,1,0
31,7171,4,1
23,5634,1,0
65,5207,3,1
21,8547,5,1
20,7815,1,1
22,3568,5,0
64,3692,5,1
30,6110,2,0
29,6374,5,1
24,8077,5,1
47,7555,4,1
28,8291,2,0
50,4564,2,0
56,5429,3,1
53,4459,3,1
58,5327,3,1
54,6269,2,1
